id,state,lga,edited-ward
1,Abia,Aba north,Ariaria Market
2,Abia,Aba north,Eziama
3,Abia,Aba north,Industrial Area
4,Abia,Aba north,Ogbor I
5,Abia,Aba north,Ogbor II
6,Abia,Aba north,Old Aba Gra
7,Abia,Aba north,Osusu I
8,Abia,Aba north,Osusu II
9,Abia,Aba north,St. Eugenes By Okigwe Rd
10,Abia,Aba north,Umuogor
11,Abia,Aba north,Umuola
12,Abia,Aba north,Uratta
13,Abia,Aba south,Aba RIVer
14,Abia,Aba south,Aba Town Hall
15,Abia,Aba south,Asa
16,Abia,Aba south,Ekeoha
17,Abia,Aba south,Enyimba
18,Abia,Aba south,Eziukwu
19,Abia,Aba south,Gloucester
20,Abia,Aba south,Igwebuike
21,Abia,Aba south,Mosque
22,Abia,Aba south,Ngwa
23,Abia,Aba south,Ohazu I
24,Abia,Aba south,Ohazu II
25,Abia,Arochukwu,Arochukwu I
26,Abia,Arochukwu,Arochukwu II
27,Abia,Arochukwu,Arochukwu III
28,Abia,Arochukwu,Eleoha Ihechiowa
29,Abia,Arochukwu,Ikwun Ihechiowa
30,Abia,Arochukwu,Isu
31,Abia,Arochukwu,Ohaeke
32,Abia,Arochukwu,Ohafor I
33,Abia,Arochukwu,Ohafor II
34,Abia,Arochukwu,Ovukwu
35,Abia,Arochukwu,Ututu
36,Abia,Bende,Amankalu/Akoliufu
37,Abia,Bende,Bende
38,Abia,Bende,Igbere A
39,Abia,Bende,Igbere B
40,Abia,Bende,Item A
41,Abia,Bende,Item B
42,Abia,Bende,Item C
43,Abia,Bende,Itumbauzo
44,Abia,Bende,Ozuitem
45,Abia,Bende,Ugwueke/Ezeukwu
46,Abia,Bende,Umu - Imenyi
47,Abia,Bende,Umuhu / Ezechi
48,Abia,Bende,Uzuakoli
49,Abia,Ikwuano,Ariam
50,Abia,Ikwuano,Ibere I
51,Abia,Ikwuano,Ibere II
52,Abia,Ikwuano,Oboro I
53,Abia,Ikwuano,Oboro II
54,Abia,Ikwuano,Oboro III
55,Abia,Ikwuano,Oboro IV
56,Abia,Ikwuano,Oloko I
57,Abia,Ikwuano,Oloko II
58,Abia,Ikwuano,Usaka
59,Abia,Isiala ngwa north,Amapu Ntigha
60,Abia,Isiala ngwa north,Amasaa Nsulu
61,Abia,Isiala ngwa north,Amasaa Ntigha
62,Abia,Isiala ngwa north,Ihie
63,Abia,Isiala ngwa north,Isiala Nsulu
64,Abia,Isiala ngwa north,Mbawsi / Umuomainta
